Name,Sales,Retail_Price,Averge_Sale_Price,Highest_Price,Lowest_Price,Release_Date
Jordan 1 Retro Royal 2017 (GS),876,120,216,315,132,2017-04-01
Jordan 5 Retro White Cement,732,190,208,410,80,2017-08-05
Jordan 1 Mid Infrared 23,712,110,105,170,56,2018-12-13
Jordan 11 Retro Low Midnight Navy,636,170,205,285,135,2016-06-04
Jordan 14 Retro Black Toe (2014),374,170,256,350,150,2014-09-20
Jordan 14 Retro Rip Hamilton (GS),284,140,149,199,70,2019-04-06
Jordan 5 Retro International Flight (GS),258,140,108,220,75,2018-08-25
Jordan 1 Mid White Topaz Mist (GS),201,90,98,149,46,2019-04-01
Jordan 1 Mid White Black Gym Red (GS),170,90,93,128,64,2002-05-01
Jordan 1 Mid Triple White (2019),159,110,91,150,25,2019-03-14
Jordan XX9 Hare,147,225,104,150,80,2015-05-05
Jordan 11 Retro Platinum Tint (GS),3648,170,125,250,90,2018-10-27
Jordan 1 Mid SE Lakers (GS),3043,100,159,350,95,2019-02-01
Jordan 12 Retro Chinese New Year (2019),2567,250,239,390,150,2019-02-05
Jordan 11 Retro Low Golf Concord,2198,220,330,685,200,2019-02-15
Jordan 1 Mid Deep Royal Blue Black,2045,120,133,200,70,2019-01-01
Jordan 3 Retro Flyknit Black,1756,200,221,500,131,2018-08-15
Jordan XXXIII Travis Scott,1724,185,242,800,160,2019-02-14
Jordan 9 Retro Dream It Do It,1722,190,192,360,120,2019-03-09
Jordan 1 Mid Pink Foam (GS),1503,90,113,300,60,2019-01-01
Jordan Legacy 312 Tech Challenge 2 Hot Lava,1079,160,169,620,70,2018-08-11
Jordan 11 Retro Neutral Olive (W),1091,220,121,300,70,2018-11-23
Jordan 11 Retro Low Concord,860,150,300,460,181,2014-05-03
Jordan 12 Retro Deep Royal Blue,825,190,234,348,150,2016-11-12
Jordan 4 Retro Toro Bravo,815,160,360,500,260,2013-07-13
Jordan 4 Retro Alternate 89,774,190,217,390,95,2016-01-02
Jordan 3 Retro Sport Blue,731,170,212,320,116,2014-08-16
Jordan 1 Retro Premium Midnight Navy Light Cream (W),684,145,162,266,115,2019-01-17
Jordan 6 Retro All Star 2017,680,225,157,322,90,2017-02-19
Jordan 1 Retro High Off-White White,637,190,2265,3648,1000,2018-03-03
Jordan 10 Retro Double Nickel,522,190,173,240,111,2015-03-28
Jordan 5 Retro Fire Red Black Tongue (2013),472,160,209,306,150,2013-08-31
Jordan 13 Retro Cap and Gown (GS),360,150,114,225,55,2019-04-27
Jordan 11 Retro Low Reverse Concord,264,140,302,475,165,2013-06-08
Jordan 4 Retro Bred 2019 (PS),249,80,84,150,48,2019-05-04
Jordan 1 Mid South Beach,5314,120,157,349,75,2018-10-01
Jordan 12 Retro Winter Black,3084,200,212,350,113,2018-12-15
Jordan 5 Retro International Flight,2941,190,148,262,85,2018-08-25
Jordan 11 Retro Low Iridescent,2153,175,206,499,120,2018-03-31
Jordan 1 Mid Fly (GS),1236,100,117,175,55,2019-03-01
Jordan 3 Retro International Flight (GS),1219,140,102,160,60,2018-06-30
Jordan 6 Retro Infrared White (2014),892,170,218,450,111,2014-02-15
Jordan 1 Retro Yin Yang White,852,160,183,364,80,2016-08-06
Jordan 1 Mid Paint Stroke (GS),818,90,110,180,45,2019-02-01
Jordan 11 Retro Low Barons,811,175,243,400,103,2017-05-27
Jordan 5 Retro P51 Camo,800,190,147,200,66,2017-09-02
Jordan 1 Retro High Flyknit Royal,778,180,92,195,54,2017-10-07
Jordan 13 Retro Phantom (W),772,190,153,277,80,2018-07-27
Jordan 1 Retro High Flyknit Bred,755,180,135,240,80,2017-09-09
Jordan 6 Retro Sport Blue (2014),701,170,193,280,120,2014-08-30
Jordan 12 Retro Bordeaux,658,190,179,299,100,2017-10-28
Jordan 11 Retro Space Jam 2016 (GS),627,170,214,290,112,2016-12-10
Jordan 1 Mid Black Dark Concord,600,110,98,191,60,2018-12-01
Jordan 14 Retro Ferrari,579,200,346,575,210,2014-09-06
Jordan 13 Retro Wheat,564,190,147,228,80,2017-11-21
Jordan 4 Retro White Cement (2012),514,160,260,513,140,2012-02-18
Jordan 6 Retro Olympic London (2012),353,160,236,350,130,2012-07-07
Jordan 12 Retro Nylon,349,190,211,300,126,2016-09-10
Jordan 14 Retro Last Shot 2018 (GS),349,140,103,157,56,2018-06-14
Jordan 1 Retro High Pale Ivory (W),279,145,215,500,150,2019-05-01
Jordan XXXIII Vast Grey,279,175,146,752,101,2019-03-07
Jordan 10 Retro Lady of Liberty,259,190,126,190,81,2015-02-15
Jordan ADG White Cement,235,135,171,260,125,2019-04-15
Jordan 1 Mid White Cement,211,110,92,160,57,2018-06-18
Jordan 1 Mid Black Particle Grey Gym Red,185,110,100,199,60,2019-03-15
Jordan 5 Retro Fire Red (2006),144,160,192,285,86,2006-12-16
Jordan Spizike White Cement (2017),112,175,139,201,65,2017-06-24
Jordan 1 Mid Top 3 (TD),63,50,46,75,30,2019-01-01
Jordan 6 Retro Tinker,3551,190,152,279,71,2018-10-06
Jordan 4 Retro Silt Red Splatter (W),2740,190,223,390,50,2019-02-22
Jordan 1 Mid Bred Multi-Color (GS),2860,90,112,190,71,2019-01-16
Jordan 3 Retro Pure White (2018),2259,190,161,311,105,2018-07-21
Jordan 8 Retro Tinker Air Raid,1898,190,158,250,86,2018-12-22
Jordan 1 Retro High City of Flight,1267,160,114,250,48,2018-01-10
Jordan 12 Retro French Blue (2016),1067,190,244,339,180,2016-04-02
Jordan 8 Retro OVO White,934,225,254,401,190,2018-02-16
Jordan 5 Retro Red Suede,911,190,195,330,133,2017-07-02
Jordan 8 Retro OVO Black,872,225,234,350,160,2018-02-16
Jordan 6 Retro Chinese New Year (2018),870,250,225,400,149,2018-01-13
Jordan 1 Mid SE Deep Royal (GS),873,120,130,195,81,2019-01-16
Jordan 1 Mid Chicago,836,110,132,270,45,2018-03-20
Jordan 1 Retro High Wings,712,200,196,400,113,2017-05-17
Jordan 3 Retro True Blue 2016 (GS),656,160,116,200,60,2016-11-25
Jordan 1 Retro Bred 2016(GS),614,120,309,430,219,2016-09-03
Jordan Legacy 312 Lakers,578,150,118,300,70,2018-11-01
Jordan 5 Retro Metallic White (2015),559,190,190,300,116,2015-04-04
Jordan 18 Retro Yellow Ochre,524,225,151,395,80,2018-09-15
Jordan 3 Retro Cyber Monday (2016),522,190,139,299,70,2016-10-15
Jordan 5 Retro Fire Red (2013),517,160,220,385,147,2013-01-26
Jordan 3 Retro White Cement (2011),451,150,286,420,165,2011-01-22
Jordan 4 Retro Green Glow,438,160,276,415,190,2013-08-17
Jordan 3 Retro Powder Blue,436,170,186,289,128,2014-01-18
Jordan 5 Retro Satin Bred (GS),404,140,100,165,50,2018-11-03
Jordan 1 Retro High White Snake (W),374,145,148,900,70,2018-07-01
Jordan 1 Retro Black White (2014),350,140,356,751,177,2014-11-08
Jordan 88 Racer White Cement,346,100,79,150,47,2018-09-01
Jordan 1 Mid Multi-Color Swoosh Black,343,110,80,225,42,2018-06-15
Jordan 6 Retro History of Jordan (Spiz'ike),256,170,188,250,106,2014-08-09
Jordan 2 Retro Low Chicago (2016),220,160,92,204,50,2016-05-21
Jordan 11 Retro Low IE Cobalt (2015),171,170,162,250,50,2015-08-01
Jordan 4 Retro Flyknit Volt,143,220,276,450,220,2019-06-14
Jordan Spizike Mint Foam (GS),32,125,47,85,37,2017-01-01
Jordan 1 Cargo White Black,30,130,125,250,85,2002-05-01
Jordan 1 Retro High Barely Volt (W),9,145,180,250,150,2019-06-22
Jordan 12 Retro International Flight,4973,200,195,347,100,2018-09-08
Jordan 1 Retro High Spider-Man Origin Story (PS),1993,70,101,250,70,2018-12-14
Jordan 8 Retro Tinker Air Raid,1899,190,158,250,86,2018-12-22
Jordan 10 Retro Light Smoke Grey,1626,190,176,300,117,2018-07-28
Jordan 15 Retro Doernbecher (2018),1323,190,215,425,120,2018-12-14
